geometry,lat,lon,g_x,g_y,v,area_grid,area_grid_km,grid_pop,grid_avg_inc,pop_density_km
"POLYGON ((115188.38860847357 493770.7975624863, 115688.38860847357 493770.7975624863, 115688.38860847357 494270.7975624863, 115188.38860847357 494270.7975624863, 115188.38860847357 493770.7975624863))",493770.7975624863,115188.38860847357,0,10,10,250000.0,0.25,0.0,,0.0
"POLYGON ((115688.38860847357 493770.7975624863, 116188.38860847357 493770.7975624863, 116188.38860847357 494270.7975624863, 115688.38860847357 494270.7975624863, 115688.38860847357 493770.7975624863))",493770.7975624863,115688.38860847357,0,11,11,250000.0,0.25,0.0,,0.0
"POLYGON ((116188.38860847357 493770.7975624863, 116688.38860847357 493770.7975624863, 116688.38860847357 494270.7975624863, 116188.38860847357 494270.7975624863, 116188.38860847357 493770.7975624863))",493770.7975624863,116188.38860847357,0,12,12,250000.0,0.25,0.0,,0.0
"POLYGON ((116688.38860847357 493770.7975624863, 117188.38860847357 493770.7975624863, 117188.38860847357 494270.7975624863, 116688.38860847357 494270.7975624863, 116688.38860847357 493770.7975624863))",493770.7975624863,116688.38860847357,0,13,13,250000.0,0.25,0.0,,0.0
"POLYGON ((117188.38860847357 493770.7975624863, 117688.38860847357 493770.7975624863, 117688.38860847357 494270.7975624863, 117188.38860847357 494270.7975624863, 117188.38860847357 493770.7975624863))",493770.7975624863,117188.38860847357,0,14,14,250000.0,0.25,0.0,,0.0
"POLYGON ((117688.38860847357 493770.7975624863, 118188.38860847357 493770.7975624863, 118188.38860847357 494270.7975624863, 117688.38860847357 494270.7975624863, 117688.38860847357 493770.7975624863))",493770.7975624863,117688.38860847357,0,15,15,250000.0,0.25,0.0,,0.0
"POLYGON ((118188.38860847357 493770.7975624863, 118688.38860847357 493770.7975624863, 118688.38860847357 494270.7975624863, 118188.38860847357 494270.7975624863, 118188.38860847357 493770.7975624863))",493770.7975624863,118188.38860847357,0,16,16,250000.0,0.25,0.0,,0.0
"POLYGON ((118688.38860847357 493770.7975624863, 119188.38860847357 493770.7975624863, 119188.38860847357 494270.7975624863, 118688.38860847357 494270.7975624863, 118688.38860847357 493770.7975624863))",493770.7975624863,118688.38860847357,0,17,17,250000.0,0.25,0.0,,0.0
"POLYGON ((119188.38860847357 493770.7975624863, 119688.38860847357 493770.7975624863, 119688.38860847357 494270.7975624863, 119188.38860847357 494270.7975624863, 119188.38860847357 493770.7975624863))",493770.7975624863,119188.38860847357,0,18,18,250000.0,0.25,2.0,24.2,8.0
"POLYGON ((119688.38860847357 493770.7975624863, 120188.38860847357 493770.7975624863, 120188.38860847357 494270.7975624863, 119688.38860847357 494270.7975624863, 119688.38860847357 493770.7975624863))",493770.7975624863,119688.38860847357,0,19,19,250000.0,0.25,0.0,,0.0
"POLYGON ((120188.38860847357 493770.7975624863, 120688.38860847357 493770.7975624863, 120688.38860847357 494270.7975624863, 120188.38860847357 494270.7975624863, 120188.38860847357 493770.7975624863))",493770.7975624863,120188.38860847357,0,20,20,250000.0,0.25,0.0,,0.0
"POLYGON ((120688.38860847357 493770.7975624863, 121188.38860847357 493770.7975624863, 121188.38860847357 494270.7975624863, 120688.38860847357 494270.7975624863, 120688.38860847357 493770.7975624863))",493770.7975624863,120688.38860847357,0,21,21,250000.0,0.25,0.0,,0.0
"POLYGON ((121188.38860847357 493770.7975624863, 121688.38860847357 493770.7975624863, 121688.38860847357 494270.7975624863, 121188.38860847357 494270.7975624863, 121188.38860847357 493770.7975624863))",493770.7975624863,121188.38860847357,0,22,22,250000.0,0.25,0.0,,0.0
"POLYGON ((121688.38860847357 493770.7975624863, 122188.38860847357 493770.7975624863, 122188.38860847357 494270.7975624863, 121688.38860847357 494270.7975624863, 121688.38860847357 493770.7975624863))",493770.7975624863,121688.38860847357,0,23,23,250000.0,0.25,0.0,,0.0
"POLYGON ((122188.38860847357 493770.7975624863, 122688.38860847357 493770.7975624863, 122688.38860847357 494270.7975624863, 122188.38860847357 494270.7975624863, 122188.38860847357 493770.7975624863))",493770.7975624863,122188.38860847357,0,24,24,250000.0,0.25,0.0,,0.0
"POLYGON ((122688.38860847357 493770.7975624863, 123188.38860847357 493770.7975624863, 123188.38860847357 494270.7975624863, 122688.38860847357 494270.7975624863, 122688.38860847357 493770.7975624863))",493770.7975624863,122688.38860847357,0,25,25,250000.0,0.25,0.0,,0.0
