WK_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,p_w_migr,p_nw_migr
WK036374,2850,1170,0.107,0.319,0.342,0.8,425,920,29.9,125.19,1044.81,373.23,400.14000000000004,,0.32280701754385965
WK036375,6205,3260,0.155,0.51,0.177,0.4,1080,2190,28.7,505.3,2754.7,1662.6000000000001,577.02,,0.35294117647058826
WK036376,9345,4485,0.21100000000000002,0.607,0.084,0.5,1205,5940,19.1,946.3350000000002,3538.665,2722.395,376.74,,0.6356340288924559
WK036377,17975,8660,0.193,0.599,0.08800000000000001,0.5,2210,11175,19.6,1671.38,6988.62,5187.34,762.08,,0.6216968011126565
WK036378,16255,7005,0.185,0.5529999999999999,0.10800000000000001,0.6,1845,10935,18.9,1295.925,5709.075,3873.7649999999994,756.5400000000001,,0.6727160873577361
WK036379,2445,1035,0.086,0.365,0.19899999999999998,1.0,310,1145,,89.00999999999999,945.99,377.775,205.96499999999997,,0.46830265848670755
WK036380,1125,395,0.124,0.414,0.27899999999999997,1.3,115,380,,48.98,346.02,163.53,110.20499999999998,,0.3377777777777778
WK036381,16290,8630,0.154,0.59,0.106,0.6,2420,8130,22.8,1329.02,7300.98,5091.7,914.78,,0.4990791896869245
WK036382,15755,7030,0.157,0.527,0.125,0.6,1990,10375,20.9,1103.71,5926.29,3704.81,878.75,,0.658521104411298
WK036383,6130,2765,0.122,0.534,0.09699999999999999,0.7,960,3345,20.5,337.33,2427.67,1476.51,268.205,,0.5456769983686787
WK036384,14530,5920,0.07,0.332,0.293,0.9,1755,6485,28.3,414.40000000000003,5505.6,1965.44,1734.56,,0.4463179628355127
WK036385,8060,3760,0.145,0.529,0.159,0.6,1305,3695,23.8,545.1999999999999,3214.8,1989.0400000000002,597.84,,0.45843672456575685
WK036386,13915,7310,0.115,0.509,0.136,0.4,2365,7485,24.8,840.6500000000001,6469.35,3720.79,994.1600000000001,,0.5379087315846209
WK036387,10575,6515,0.132,0.5710000000000001,0.14300000000000002,0.3,2655,4015,31.7,859.98,5655.02,3720.0650000000005,931.6450000000001,,0.3796690307328605
WK036388,13960,6195,0.057,0.309,0.294,0.9,2315,4055,31.2,353.115,5841.885,1914.2549999999999,1821.33,,0.2904727793696275
WK036389,10640,5690,0.14800000000000002,0.618,0.10099999999999999,0.4,1780,5340,22.4,842.1200000000001,4847.88,3516.42,574.6899999999999,,0.5018796992481203
WK036390,13530,7795,0.078,0.457,0.21100000000000002,0.6,3705,3275,37.6,608.01,7186.99,3562.315,1644.7450000000001,,0.24205469327420548
WK036391,7915,4515,0.09300000000000001,0.47600000000000003,0.18100000000000002,0.6,2030,2220,34.8,419.89500000000004,4095.105,2149.1400000000003,817.2150000000001,,0.2804801010739103
WK036392,710,565,0.183,0.892,0.024,,130,275,,103.395,461.605,503.98,13.56,,0.3873239436619718
WK036393,24170,13475,0.204,0.682,0.057,0.4,2785,17355,19.3,2748.8999999999996,10726.1,9189.95,768.075,,0.7180388911874225
WK036394,29455,15495,0.172,0.594,0.096,0.5,3085,20075,21.5,2665.14,12829.86,9204.029999999999,1487.52,,0.6815481242573417
WK036395,2920,1770,0.071,0.46299999999999997,0.091,0.6,565,985,29.5,125.66999999999999,1644.33,819.51,161.07,,0.3373287671232877
WK036396,18255,9175,0.156,0.574,0.085,0.5,1790,11390,20.7,1431.3,7743.7,5266.45,779.875,,0.6239386469460422
WK036397,11435,5590,0.131,0.48200000000000004,0.134,0.7,1345,6010,23.8,732.2900000000001,4857.71,2694.38,749.0600000000001,,0.5255793616090949
WK036398,1605,675,0.048,0.313,0.271,1.1,160,175,,32.4,642.6,211.275,182.925,,0.10903426791277258
